"word_ID","file_ID","line_ID","wordnum_ID"
80,5,20198,39
80,5,60636,21
80,5,60636,38
80,5,54130,39
80,5,14516,18
80,5,74070,26
80,5,66183,6
80,5,74070,33
80,5,35692,11
80,5,64700,24
80,5,1743,3
80,5,75606,14
80,5,33271,21
80,5,69961,33
80,5,56562,16
80,5,58532,15
80,5,18921,28
80,5,20143,11
80,5,74070,29
80,5,27877,28
29,5,68727,68
29,5,6869,50
29,5,67021,30
29,5,14319,47
29,5,15074,33
29,5,63546,8
29,5,35693,37
29,5,18126,12
29,5,34559,21
29,5,58965,40
29,5,4156,6
29,5,73443,11
29,5,69,6
29,5,8274,12
29,5,62800,3
29,5,5646,23
280,5,62981,35
280,5,50931,36
280,5,35652,29
280,5,63047,14
280,5,28545,28
280,5,28877,34
280,5,26485,11
280,5,7634,30
280,5,15556,3
280,5,7585,3
280,5,40831,25
280,5,34405,31
280,5,52761,16
280,5,72618,35
280,5,23883,78
280,5,1953,23
280,5,72285,20
280,5,25231,37
280,5,30536,23
280,5,47303,41
280,5,19643,53
280,5,34572,31
280,5,2130,32
280,5,43569,28
280,5,5586,7
280,5,38799,14
280,5,23184,27
280,5,65907,28
280,5,10845,22
280,5,50225,44
280,5,75759,44
280,5,52799,65
280,5,34569,48
280,5,27195,39
280,5,74593,33
280,5,61425,28
280,5,45392,32
280,5,2596,15
280,5,51968,21
280,5,23636,21
280,5,7601,25
280,5,61002,30
280,5,40997,34
280,5,54846,41
280,5,31080,14
280,5,64635,17
280,5,69611,51
280,5,69506,21
280,5,5661,40
280,5,45668,23
280,5,24692,65
280,5,28864,29
280,5,22201,11
280,5,37511,42
280,5,65703,41
280,5,33482,11
280,5,61288,61
280,5,51481,29
280,5,5483,4
280,5,73069,28
280,5,3375,18
280,5,68352,38
280,5,67620,28
280,5,29815,20
280,5,37397,13
280,5,19209,48
280,5,73720,37
280,5,69613,32
280,5,16615,13
280,5,10713,27
280,5,62266,36
280,5,52575,57
280,5,1752,29
280,5,64036,32
280,5,48020,58
280,5,11645,39
280,5,60727,17
280,5,42223,10
280,5,75481,15
280,5,61025,17
280,5,10994,17
280,5,404,18
280,5,28550,20
280,5,29809,24
280,5,69811,47
280,5,49696,32
280,5,3326,30
280,5,59587,39
280,5,77093,31
280,5,54102,32
280,5,62731,38
280,5,44942,40
280,5,56590,38
280,5,61151,23
280,5,75025,20
280,5,59343,30
280,5,10414,8
280,5,45258,46
280,5,63542,14
280,5,70977,26
280,5,40701,42
280,5,19154,10
280,5,10315,58
280,5,77133,18
280,5,18480,21
280,5,42221,82
280,5,27895,22
280,5,12861,66
280,5,43710,37
280,5,52673,38
280,5,67757,40
280,5,64723,51
280,5,2596,69
280,5,52161,13
280,5,35856,13
280,5,67166,36
280,5,40306,64
280,5,67847,21
280,5,63965,63
280,5,57188,33
280,5,31736,52
280,5,56306,17
280,5,30970,8
280,5,19345,4
280,5,23585,26
280,5,23879,67
280,5,22789,17
280,5,36328,16
280,5,752,16
280,5,64610,34
280,5,22790,23
280,5,71649,35
280,5,77094,9
280,5,28631,23
280,5,62580,21
280,5,71178,16
280,5,50845,18
280,5,39224,36
280,5,46546,10
280,5,37400,19
280,5,1745,15
280,5,1206,23
280,5,61534,10
280,5,52816,16
280,5,7597,20
280,5,56094,30
280,5,291,18
280,5,9237,28
280,5,18702,25
280,5,39794,42
280,5,16726,47
280,5,9061,15
280,5,56768,15
280,5,45299,33
280,5,13552,22
280,5,40137,58
280,5,37027,59
280,5,48753,14
280,5,9583,10
280,5,15899,28
280,5,22992,20
280,5,60728,30
280,5,37322,15
280,5,14488,25
280,5,22105,34
280,5,76850,15
280,5,19227,24
280,5,48659,21
280,5,54105,52
280,5,72594,14
280,5,30891,37
280,5,21245,12
280,5,45644,18
280,5,4432,48
280,5,12861,93
280,5,17147,18
280,5,72806,19
280,5,64350,44
280,5,21199,9
280,5,59488,41
280,5,54648,57
280,5,67798,23
280,5,27216,49
280,5,5557,57
280,5,45093,19
280,5,69976,21
280,5,28507,38
280,5,50218,40
280,5,24393,14
280,5,14839,49
280,5,18318,27
280,5,74069,46
280,5,50829,25
280,5,35884,23
280,5,23638,22
280,5,16729,37
280,5,13330,30
280,5,16767,50
280,5,44350,52
280,5,52684,19
280,5,32488,20
280,5,143,48
280,5,30677,16
280,5,8769,5
280,5,46998,26
280,5,15846,63
280,5,50891,26
280,5,53041,34
280,5,60376,2
280,5,29770,17
280,5,69650,31
280,5,26481,7
280,5,5771,19
280,5,42259,24
280,5,48068,63
280,5,18585,46
280,5,47193,34
280,5,74532,21
280,5,47097,45
280,5,24278,67
280,5,66632,15
280,5,20417,32
280,5,57615,17
280,5,12141,18
280,5,49631,4
280,5,57226,26
280,5,3657,31
280,5,67841,44
280,5,39056,23
280,5,23309,36
280,5,38252,45
280,5,50838,50
280,5,26172,20
280,5,29208,11
280,5,14737,18
280,5,65469,36
280,5,53558,21
280,5,22993,86
280,5,21327,24
280,5,64249,16
280,5,15158,28
280,5,45692,30
280,5,34553,80
280,5,27155,28
280,5,24505,9
280,5,19836,21
280,5,88,31
280,5,67141,50
280,5,35650,12
280,5,77096,41
280,5,24912,34
280,5,17888,45
280,5,29978,26
280,5,32120,14
280,5,2300,35
280,5,43684,31
280,5,16705,35
280,5,31835,22
280,5,34471,20
280,5,60987,23
280,5,59100,27
280,5,73479,33
280,5,15838,52
280,5,72799,40
280,5,75493,24
280,5,77131,29
280,5,61453,50
280,5,44147,22
280,5,21206,26
280,5,29235,18
280,5,18475,17
280,5,12655,18
280,5,55699,26
280,5,68203,53
280,5,14726,12
280,5,16675,33
280,5,18525,33
280,5,43177,15
280,5,13967,11
280,5,72576,20
280,5,73061,57
280,5,54446,8
280,5,53625,17
280,5,40712,29
280,5,52497,21
280,5,70313,35
280,5,29743,4
280,5,71126,12
280,5,23823,16
280,5,74032,13
280,5,21261,37
280,5,64724,36
280,5,32954,35
280,5,73670,23
280,5,19936,14
280,5,40419,51
280,5,20382,29
280,5,29185,41
280,5,16865,19
280,5,3675,21
280,5,72258,92
280,5,49642,57
280,5,20418,36
280,5,55392,16
280,5,63088,23
280,5,47922,20
280,5,5270,20
280,5,28591,14
280,5,5807,53
280,5,4282,24
280,5,3672,32
280,5,68372,43
280,5,756,17
280,5,55797,21
280,5,25176,17
280,5,7558,32
280,5,19829,58
280,5,22793,28
280,5,23894,32
280,5,76834,16
280,5,17279,4
280,5,73452,28
280,5,67106,33
280,5,11747,15
280,5,24887,21
280,5,54214,4
280,5,63359,29
280,5,25659,52
280,5,18656,28
280,5,37829,50
280,5,74596,42
280,5,18708,67
280,5,17882,21
280,5,39167,6
280,5,12128,6
280,5,51741,24
280,5,4413,15
280,5,53354,25
280,5,44073,30
280,5,29208,35
280,5,23017,16
280,5,74273,40
280,5,32655,95
280,5,8374,20
235,5,43080,1
235,5,72576,26
235,5,18708,1
235,5,14408,1
235,5,69022,1
235,5,67845,1
235,5,44939,1
235,5,62857,1
235,5,62590,1
235,5,61244,1
235,5,13553,1
235,5,48239,1
235,5,47230,36
235,5,9208,1
235,5,69616,1
235,5,70048,1
235,5,52805,23
235,5,32486,1
235,5,4184,21
235,5,48390,1
235,5,38258,61
235,5,70128,1
235,5,7866,76
235,5,71643,1
235,5,66226,1
235,5,25896,1
235,5,15848,1
235,5,48379,23
235,5,70001,24
235,5,16787,1
235,5,50873,1
235,5,36931,74
235,5,59945,25
235,5,35104,1
235,5,56024,1
235,5,8945,1
235,5,15468,1
235,5,7116,39
235,5,1994,1
235,5,5808,1
235,5,61042,23
235,5,399,1
235,5,49997,1
235,5,21993,1
235,5,32494,28
235,5,74554,2
235,5,44798,1
235,5,59097,1
235,5,46331,1
235,5,52817,32
235,5,2251,1
235,5,16848,1
235,5,74981,1
235,5,61038,15
235,5,28330,21
235,5,59572,1
235,5,23562,1
235,5,56785,1
235,5,50952,18
235,5,1307,1
235,5,6120,1
235,5,1851,18
235,5,75938,16
235,5,38227,1
235,5,36369,1
235,5,12923,1
235,5,50218,1
235,5,7866,8
235,5,61040,20
235,5,39724,1
235,5,4504,1
235,5,17144,1
235,5,55628,25
235,5,24714,1
235,5,7825,1
235,5,35369,1
235,5,32954,1
235,5,23837,1
235,5,16762,1
235,5,39775,33
235,5,37738,13
235,5,44065,16
235,5,1175,1
235,5,67146,1
235,5,33192,16
235,5,68873,8
235,5,3330,1
235,5,3423,1
