"word_ID","file_ID","line_ID","wordnum_ID"
4083,6,140713,11
4083,6,81115,12
4083,6,45532,9
4083,6,77059,9
4083,6,119466,8
4083,6,3094,12
4083,6,21371,16
4083,6,15812,14
4083,6,75358,5
4083,6,114839,9
4083,6,13313,4
4083,6,143854,12
4083,6,4985,9
4083,6,9116,7
4083,6,130789,11
4083,6,61051,3
4083,6,36014,4
4083,6,12931,3
4083,6,26544,18
4083,6,50121,17
4083,6,90390,3
4083,6,103368,4
4083,6,16999,21
4083,6,62934,3
4083,6,88519,11
4083,6,14386,8
4083,6,51013,14
4083,6,103494,2
4083,6,127939,8
4083,6,132376,4
4083,6,52,10
4083,6,42672,6
4083,6,140462,13
4083,6,19746,11
4083,6,15817,3
4083,6,25957,14
4083,6,53741,8
4083,6,102802,14
4083,6,88517,2
4083,6,29156,12
4083,6,62800,7
4083,6,111064,7
4083,6,70064,3
4083,6,96344,15
4083,6,12933,4
4083,6,121497,4
4083,6,5,3
4083,6,52283,4
4083,6,21371,13
4083,6,85500,3
4083,6,26818,16
4083,6,3844,9
4083,6,13316,16
4083,6,67502,11
4083,6,42705,21
4083,6,79361,10
4083,6,54218,12
4083,6,77074,18
4083,6,29604,2
4083,6,16618,4
4083,6,174937,5
4083,6,107894,8
4083,6,15194,7
4083,6,48194,5
4083,6,61034,2
4083,6,91167,8
4083,6,136345,5
4083,6,154025,9
4083,6,39357,18
4083,6,15194,15
4083,6,121568,6
4083,6,117472,8
4083,6,111085,7
4083,6,19803,13
4083,6,26559,7
4083,6,91174,11
4083,6,43359,19
4083,6,86976,7
4083,6,13320,21
4083,6,53710,15
4083,6,134261,6
4083,6,43344,17
4083,6,19797,3
4083,6,73340,4
4083,6,133300,15
4083,6,88545,11
4083,6,26554,3
4083,6,30685,14
4083,6,12123,16
4083,6,79967,19
4083,6,130015,6
4083,6,90065,13
4083,6,100565,5
4083,6,170761,19
4083,6,3830,18
4083,6,26823,5
4083,6,4222,21
4083,6,12639,9
4083,6,91174,3
4083,6,69239,10
4083,6,11224,7
4083,6,75067,16
4083,6,86973,3
4083,6,42754,6
4083,6,34747,3
4083,6,19128,2
4083,6,74936,14
4083,6,31568,11
4083,6,39446,17
4083,6,13304,5
4083,6,131493,12
4083,6,87618,11
4083,6,79001,2
4083,6,75186,21
4083,6,42662,19
4083,6,100472,6
4083,6,31543,19
4083,6,86948,11
4083,6,99836,9
4083,6,9118,14
4083,6,55846,5
4083,6,44636,3
4083,6,14373,16
4083,6,123063,4
4083,6,27267,4
4083,6,48247,18
4083,6,4470,7
4083,6,77055,21
4083,6,107396,16
4083,6,123849,20
4083,6,102795,6
4083,6,32691,5
4083,6,101629,19
4083,6,95818,4
4083,6,93775,8
4083,6,168388,13
4083,6,97596,4
4083,6,90963,19
4083,6,101614,5
4083,6,14383,14
4083,6,142153,2
4083,6,81821,4
4083,6,6009,6
4083,6,6885,5
4083,6,34395,8
4083,6,13305,4
4083,6,138468,6
4083,6,26239,11
4083,6,140718,10
4083,6,91109,17
4083,6,45164,10
4083,6,5243,9
4083,6,81468,4
4083,6,39355,14
4083,6,14379,14
4083,6,50133,9
4083,6,107890,5
4083,6,66548,2
4083,6,66798,18
4083,6,95526,5
4083,6,11677,16
4083,6,35996,14
4083,6,125233,6
4083,6,745,5
4083,6,34806,13
4083,6,45541,19
4083,6,31626,5
4083,6,31306,7
4083,6,86951,4
4083,6,25135,9
4083,6,103056,11
4083,6,75555,5
4083,6,57819,2
4083,6,6930,3
4083,6,29177,16
4083,6,105477,2
4083,6,77055,19
4083,6,13291,13
4083,6,21360,4
4083,6,37865,15
4083,6,43303,4
4083,6,19128,10
4083,6,87393,11
4083,6,41981,2
4083,6,43926,24
4083,6,34329,14
4083,6,141819,14
4083,6,30721,2
4083,6,3686,16
4083,6,119435,9
4083,6,13597,3
4083,6,116386,7
4083,6,132887,7
4083,6,27266,12
4083,6,36873,10
4083,6,85504,6
4083,6,52277,4
4083,6,94191,12
4083,6,79963,8
4083,6,19680,23
4083,6,17109,10
4083,6,153177,8
4083,6,30323,7
4083,6,118275,6
4083,6,24863,8
4083,6,36972,7
4083,6,127513,2
4083,6,5864,7
4083,6,19198,5
4083,6,113778,6
4083,6,129522,25
4083,6,122852,16
4083,6,12616,5
4083,6,35986,12
4083,6,20382,11
4083,6,5153,2
4083,6,45106,19
4083,6,58883,3
4083,6,100489,6
4083,6,25806,18
4083,6,57892,9
4083,6,74950,14
4083,6,34806,18
4083,6,73722,4
4083,6,153361,18
4083,6,129090,13
4083,6,76696,13
4083,6,114523,18
4083,6,43359,15
4083,6,87795,20
4083,6,20466,6
4083,6,90986,12
4083,6,43686,2
4083,6,88739,13
4083,6,61549,4
4083,6,116234,10
4083,6,42662,11
4083,6,90416,8
4083,6,7776,14
4083,6,101090,19
4083,6,12120,6
4083,6,105154,18
4083,6,45106,16
4083,6,37504,7
4083,6,9125,9
4083,6,88792,16
4083,6,106988,3
4083,6,44627,21
4083,6,114599,17
4083,6,140893,8
4083,6,75176,17
4083,6,115392,2
4083,6,44752,9
4083,6,68455,11
4083,6,60767,17
4083,6,67498,4
4083,6,26297,4
