"word_ID","file_ID","line_ID","wordnum_ID"
1594,5,2309,29
1594,5,72769,5
1594,5,62055,16
1594,5,58616,109
1594,5,11133,15
1594,5,52439,11
1594,5,69041,22
2148,5,25599,5
2148,5,55706,25
2148,5,69308,39
2148,5,20318,39
2148,5,62814,36
2148,5,7334,63
2148,5,11193,5
2148,5,4332,7
2148,5,34779,7
2148,5,54975,10
2148,5,37227,6
2148,5,50481,3
2148,5,4258,38
2148,5,13959,3
2148,5,57681,30
2148,5,70297,6
2148,5,55332,55
2148,5,71616,15
2148,5,14068,66
2148,5,37019,4
2148,5,499,10
2148,5,3789,18
2148,5,53964,42
2148,5,69628,50
2148,5,67725,58
2148,5,2791,6
2148,5,29645,15
2148,5,53488,31
2148,5,60450,20
2148,5,20916,55
2148,5,19413,50
2148,5,21364,25
2148,5,76795,6
2148,5,24880,3
2148,5,22594,45
2148,5,20709,163
2148,5,4224,8
2148,5,46491,5
2148,5,19518,8
2148,5,805,10
2148,5,34934,17
2148,5,62582,28
2148,5,72737,27
2148,5,5401,44
2148,5,66494,7
2148,5,63560,41
2148,5,37788,33
2148,5,66200,57
2148,5,12207,17
2148,5,12954,12
2148,5,74005,36
2148,5,64113,28
2148,5,38685,25
2148,5,38306,96
2148,5,6897,21
2176,5,48362,18
2176,5,31220,46
2176,5,16070,32
2176,5,74281,48
2176,5,8059,20
2176,5,13916,41
2176,5,711,49
2176,5,72130,13
2176,5,44016,21
2176,5,54155,13
2176,5,14729,18
2176,5,24880,13
2176,5,64718,18
2176,5,41828,35
2176,5,21650,26
2176,5,21906,30
2176,5,25371,141
2176,5,25643,28
2176,5,20993,28
2176,5,73368,23
2176,5,61490,33
2176,5,64104,51
2176,5,48535,34
2176,5,60267,103
2176,5,17985,38
2176,5,60157,41
2176,5,38586,84
2176,5,33635,18
2176,5,27098,42
2176,5,58370,17
2176,5,41304,22
2176,5,17003,46
2176,5,736,17
2176,5,5760,21
2176,5,35291,19
2176,5,15025,40
2176,5,14583,13
2176,5,54028,24
2176,5,67236,34
2176,5,41383,3
2176,5,58030,16
2176,5,59346,61
2176,5,45785,93
2176,5,17766,13
2176,5,64104,17
2176,5,20931,31
2176,5,76237,37
2176,5,30796,19
2176,5,23891,30
2176,5,47751,16
2176,5,52695,4
2176,5,20003,7
2176,5,58904,20
2176,5,50217,35
2176,5,15357,26
2176,5,73550,38
2176,5,2783,211
2176,5,39656,19
2176,5,47513,11
2176,5,74625,14
2176,5,4703,15
2176,5,28653,16
2176,5,1368,37
2176,5,24688,46
2176,5,8615,36
2176,5,50266,60
2176,5,16315,16
2176,5,29629,27
2176,5,45620,34
2176,5,39230,54
2328,5,42853,23
2328,5,67826,19
2328,5,844,25
2328,5,10009,16
2328,5,59030,9
2328,5,32098,53
2328,5,48227,2
2328,5,59121,18
2328,5,74622,30
2328,5,69177,44
2328,5,42800,16
2328,5,17988,39
2328,5,62992,63
2328,5,76257,55
2328,5,75163,26
2328,5,31312,19
2328,5,27395,24
2328,5,26192,7
2328,5,59238,24
2328,5,45304,13
2328,5,26219,24
2328,5,39126,31
2328,5,27379,30
2328,5,3786,20
2328,5,25039,7
2328,5,46217,19
2328,5,54278,19
2328,5,61189,75
2328,5,63551,6
2328,5,53856,30
2328,5,45931,34
2328,5,59950,85
2328,5,69628,43
2328,5,12706,47
2328,5,40024,29
2328,5,24194,27
2328,5,72539,2
2328,5,4803,4
2328,5,40708,25
2328,5,25294,28
2328,5,24114,24
2328,5,18060,62
2328,5,59053,35
2328,5,4856,18
2328,5,30664,33
2328,5,40284,25
2328,5,17620,62
2328,5,60783,28
2328,5,73928,51
2328,5,56100,28
2328,5,70909,7
2328,5,71740,10
2328,5,25103,34
2328,5,34530,28
2328,5,61147,22
2328,5,51485,47
2328,5,53843,8
2328,5,51622,3
2328,5,74908,11
2328,5,76784,49
2328,5,53792,52
2328,5,3141,53
2328,5,4358,9
2328,5,2319,52
2328,5,40477,18
2328,5,37018,30
2328,5,38978,6
2328,5,58599,61
2328,5,70976,24
2328,5,7073,22
2328,5,54417,21
2328,5,16990,29
2328,5,55982,9
2328,5,18612,10
2328,5,22959,18
2328,5,737,37
2328,5,34980,20
2328,5,66410,15
2328,5,30897,4
2328,5,66491,132
2328,5,67236,37
2328,5,19425,25
2328,5,30372,47
2328,5,51149,35
2328,5,24602,21
2328,5,650,11
2328,5,58042,27
2328,5,57212,82
2328,5,12648,49
2328,5,61668,26
2328,5,14142,14
2328,5,21219,8
2328,5,51621,41
2328,5,7989,5
2328,5,15395,70
2328,5,10097,24
2328,5,23884,11
2328,5,44224,50
2328,5,24602,13
2328,5,1911,6
2328,5,70454,38
2328,5,31307,48
2328,5,5168,15
2328,5,44596,22
2328,5,30564,32
2328,5,69239,42
2328,5,62844,18
2328,5,11306,12
2328,5,4231,21
2328,5,52903,11
2328,5,51896,5
2328,5,75190,22
2328,5,66105,42
2328,5,60016,25
2328,5,38689,16
2328,5,47307,4
2328,5,18029,38
2328,5,23647,15
2328,5,59022,28
2328,5,33453,19
2328,5,39689,56
2328,5,76034,39
2328,5,14082,31
2328,5,2134,15
2328,5,46688,3
2328,5,21972,17
2328,5,41421,26
2328,5,547,20
2328,5,18914,27
2328,5,8644,26
2328,5,39716,14
2328,5,35167,2
2328,5,26928,36
2328,5,74282,21
2328,5,15872,20
2328,5,6863,15
2328,5,7805,14
2328,5,9853,9
2328,5,41381,55
2328,5,73798,24
2328,5,48358,26
2328,5,62718,41
2328,5,50700,17
2328,5,29241,11
2328,5,9851,7
2328,5,56116,31
2328,5,11709,53
2328,5,53797,62
2328,5,4557,16
2328,5,62991,13
2328,5,47812,11
2328,5,41796,39
2328,5,75112,56
2328,5,10249,35
2328,5,28374,7
2328,5,68089,10
2328,5,40486,40
2328,5,31673,5
2328,5,16820,9
2328,5,25454,17
2328,5,2783,29
2328,5,26493,27
2328,5,55947,63
2328,5,23939,8
2328,5,53425,5
2328,5,26978,23
2328,5,788,35
2328,5,18253,41
2328,5,52924,22
2328,5,28551,15
2328,5,74006,25
2328,5,58215,3
2328,5,66924,40
2328,5,17557,38
2328,5,31300,13
2328,5,21051,9
2328,5,45891,29
2328,5,62542,2
2328,5,69210,17
2328,5,42472,12
2328,5,56955,10
2328,5,63233,9
2328,5,66037,9
2328,5,12644,26
2328,5,17292,29
2328,5,14312,50
2328,5,77006,26
2328,5,60459,16
2328,5,44145,15
2328,5,33971,50
2328,5,5763,25
