"word","file_4_count","file_5_count","file_6_count","word_length","total_count","word_ID"
"some",43789,1625,11217,4,56631,"3897"
"when",44173,2237,12019,4,58429,"3898"
"what",45507,1643,14157,4,61307,"3899"
"time",45891,1891,13976,4,61758,"3900"
"more",47799,3155,12209,4,63163,"3901"
"like",50219,1777,22376,4,74372,"3902"
"just",49579,1914,23008,4,74501,"3903"
"they",60514,3191,11331,4,75036,"3904"
"will",58176,3975,18031,4,80182,"3905"
"your",48410,1134,31875,4,81419,"3906"
"from",76411,5615,16538,4,98564,"3907"
"this",108287,3540,27557,4,139384,"3908"
"have",115552,5233,31691,4,152476,"3909"
"with",148807,9285,33179,4,191271,"3910"
"that",238651,11948,41415,4,292014,"3911"
"war",2147,113,243,3,2503,"3912"
"Did",1122,25,1374,3,2521,"3913"
"bar",1763,149,710,3,2622,"3914"
"die",1918,47,730,3,2695,"3915"
"Big",1271,134,1321,3,2726,"3916"
"Can",1158,32,1541,3,2731,"3917"
"See",1198,23,1514,3,2735,"3918"
"kid",1812,57,869,3,2738,"3919"
"won",1516,313,913,3,2742,"3920"
"six",2160,382,216,3,2758,"3921"
"act",2097,92,590,3,2779,"3922"
"Are",1262,31,1540,3,2833,"3923"
"fit",2409,65,375,3,2849,"3924"
"Her",2411,129,309,3,2849,"3925"
"Get",811,22,2022,3,2855,"3926"
"low",2255,132,468,3,2855,"3927"
"eye",2205,64,595,3,2864,"3928"
"www",587,109,2179,3,2875,"3929"
"Its",1129,49,1728,3,2906,"3930"
"oil",2525,195,222,3,2942,"3931"
"per",2319,280,375,3,2974,"3932"
"box",2397,91,492,3,2980,"3933"
"Let",1567,32,1400,3,2999,"3934"
"air",2332,143,574,3,3049,"3935"
"sad",1741,42,1335,3,3118,"3936"
"dog",2094,119,927,3,3140,"3937"
"sit",2639,68,528,3,3235,"3938"
"fan",1639,68,1681,3,3388,"3939"
"THE",1455,24,2023,3,3502,"3940"
"law",2597,502,454,3,3553,"3941"
"Who",1778,52,1752,3,3582,"3942"
"met",2734,141,724,3,3599,"3943"
"boy",2585,107,941,3,3633,"3944"
"son",2767,198,673,3,3638,"3945"
"due",2960,119,576,3,3655,"3946"
"red",2946,145,755,3,3846,"3947"
"Hey",523,45,3279,3,3847,"3948"
"age",3244,212,473,3,3929,"3949"
"etc",3366,10,756,3,4132,"3950"
"art",3394,142,751,3,4287,"3951"
"pay",3046,434,977,3,4457,"3952"
"mom",2699,60,1756,3,4515,"3953"
"Our",3182,81,1391,3,4654,"3954"
"Why",2548,87,2061,3,4696,"3955"
"hot",2987,162,1560,3,4709,"3956"
"May",3048,310,1513,3,4871,"3957"
"bed",3305,62,1563,3,4930,"3958"
"com",2225,346,2461,3,5032,"3959"
"men",4202,216,714,3,5132,"3960"
"buy",3751,169,1391,3,5311,"3961"
"eat",3801,79,1482,3,5362,"3962"
"hit",3147,403,2028,3,5578,"3963"
"add",4709,164,709,3,5582,"3964"
"guy",3146,207,2273,3,5626,"3965"
"win",2349,406,2878,3,5633,"3966"
"cut",4651,284,762,3,5697,"3967"
"yes",2712,44,3035,3,5791,"3968"
"Yes",3073,62,2723,3,5858,"3969"
"ask",4240,156,1569,3,5965,"3970"
"car",4285,318,1492,3,6095,"3971"
"His",5544,343,451,3,6338,"3972"
"Day",2905,151,3314,3,6370,"3973"
"saw",5156,224,2375,3,7755,"3974"
"run",5341,494,1953,3,7788,"3975"
"All",5493,190,2476,3,8159,"3976"
"top",6458,468,1237,3,8163,"3977"
"ago",6574,456,1316,3,8346,"3978"
"job",5366,432,2558,3,8356,"3979"
"How",4461,133,3802,3,8396,"3980"
"Not",5615,130,3364,3,9109,"3981"
"One",7287,305,1995,3,9587,"3982"
"far",7387,354,1919,3,9660,"3983"
"yet",7283,239,2178,3,9700,"3984"
"bad",6185,221,3627,3,10033,"3985"
"Now",6986,214,2883,3,10083,"3986"
"set",8241,495,1435,3,10171,"3987"
"New",6248,951,3135,3,10334,"3988"
"try",7542,230,2678,3,10450,"3989"
"let",8015,213,3489,3,11717,"3990"
"fun",7552,158,4363,3,12073,"3991"
"big",8439,524,3233,3,12196,"3992"
"bit",10629,228,1474,3,12331,"3993"
"For",10087,512,1923,3,12522,"3994"
"God",10111,67,2389,3,12567,"3995"
"man",8033,420,4188,3,12641,"3996"
"end",10056,551,2217,3,12824,"3997"
"old",10046,295,2898,3,13239,"3998"
"why",9343,305,4011,3,13659,"3999"
"put",10854,492,2486,3,13832,"4000"
"lot",11441,600,2742,3,14783,"4001"
"She",13207,638,1484,3,15329,"4002"
"use",12503,436,2821,3,15760,"4003"
"may",14036,640,2367,3,17043,"4004"
"own",14598,512,2010,3,17120,"4005"
"few",16998,539,2538,3,20075,"4006"
"say",15820,757,5886,3,22463,"4007"
"its",17074,1912,5396,3,24382,"4008"
"two",19932,1800,2882,3,24614,"4009"
"off",17540,882,6528,3,24950,"4010"
"did",19149,793,5491,3,25433,"4011"
"any",20477,822,4210,3,25509,"4012"
"got",16687,684,9512,3,26883,"4013"
"You",15783,346,11425,3,27554,"4014"
"too",19257,619,11320,3,31196,"4015"
"But",24972,1768,4776,3,31516,"4016"
"him",24827,1541,5287,3,31655,"4017"
"way",24481,905,6705,3,32091,"4018"
"new",22223,1361,10516,3,34100,"4019"
"And",28140,1014,6377,3,35531,"4020"
"see",24763,685,12367,3,37815,"4021"
"now",24132,1030,13615,3,38777,"4022"
"day",23451,829,14708,3,38988,"4023"
"how",29212,979,9764,3,39955,"4024"
"she",35003,1927,4334,3,41264,"4025"
"our",41733,1204,11733,3,54670,"4026"
"who",42989,3713,8405,3,55107,"4027"
"get",36966,1494,19926,3,58386,"4028"
"her",54146,2297,6284,3,62727,"4029"
"has",49823,4090,9185,3,63098,"4030"
"his",53339,5064,6115,3,64518,"4031"
"had",57281,2771,7635,3,67687,"4032"
"can",50716,1909,15821,3,68446,"4033"
"one",58860,2525,14261,3,75646,"4034"
"out",57520,2459,22098,3,82077,"4035"
"all",70239,2043,21524,3,93806,"4036"
"not",86637,3609,21774,3,112020,"4037"
"but",86249,3345,23306,3,112900,"4038"
"The",93756,7576,16046,3,117378,"4039"
"are",101262,4746,29446,3,135454,"4040"
"was",149745,7937,23616,3,181298,"4041"
"you",134838,2634,93619,3,231091,"4042"
"for",182079,11502,75344,3,268925,"4043"
"and",554285,29420,82279,3,665984,"4044"
"the",892015,58979,167452,3,1118446,"4045"
"On",3839,268,1227,2,5334,"4046"
"At",4081,289,1283,2,5653,"4047"
"To",4478,162,1394,2,6034,"4048"
"No",4419,400,3148,2,7967,"4049"
"As",8918,343,754,2,10015,"4050"
"My",10124,102,4566,2,14792,"4051"
"If",12801,470,5271,2,18542,"4052"
"In",15474,1061,2111,2,18646,"4053"
"He",15771,1398,1825,2,18994,"4054"
"So",15023,279,4536,2,19838,"4055"
"am",17395,140,4739,2,22274,"4056"
"go",15058,561,7351,2,22970,"4057"
"us",16732,437,5848,2,23017,"4058"
